Action,SKU,Product,Variation,Category,Location,Unit Selling Price,Current stock,Current Stock Value (By purchase price),Current Stock Value (By sale price),Potential profit,Total unit sold,Total Unit Transfered,Total Unit Adjusted,Custom Field1,Custom Field2,Custom Field3,Custom Field4
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,NEKEDE CONNECT LITE,₦ 100.000 View group prices,150.0 UNIT(S),"₦ 15,000.000","₦ 15,000.000",₦ 0.000,"7,750.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,OANDO CONNECT POINT,₦ 100.000 View group prices,174.5 UNIT(S),"₦ 17,450.000","₦ 17,450.000",₦ 0.000,"1,325.5 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,UNIZIK 1,₦ 100.000 View group prices,547.0 UNIT(S),"₦ 54,700.000","₦ 54,700.000",₦ 0.000,"10,153.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,ONITSHA 2 CONNECT LITE,₦ 100.000 View group prices,"10,291.0 UNIT(S)","₦ 1,029,100.000","₦ 1,029,100.000",₦ 0.000,"48,129.0 UNIT(S)","44,700.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,ALAKAHIA CONNECT / LITE,₦ 100.000 View group prices,"7,190.0 UNIT(S)","₦ 719,000.000","₦ 719,000.000",₦ 0.000,"94,832.0 UNIT(S)","13,000.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,HEAD OFFICE,₦ 100.000 View group prices,0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,"31,689.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,261734,SAMSUNG A1659 (4/128)GB,,PHONES,OWERRI 2 CONNECT / LITE,"₦ 280,000.000 View group prices",1.0 UNIT(S),"₦ 267,900.000","₦ 280,000.000","₦ 12,100.000",0.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,453768,itel 6350,,PHONES,OWERRI 2 CONNECT / LITE,"₦ 17,000.000 View group prices",1.0 UNIT(S),"₦ 15,300.000","₦ 17,000.000","₦ 1,700.000",9.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,ONITSHA 2 CONNECT LITE,₦ 100.000 View group prices,"6,688.0 UNIT(S)","₦ 645,371.936","₦ 668,800.000","₦ 23,428.064","151,083.0 UNIT(S)","61,100.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,ALAKAHIA CONNECT / LITE,₦ 100.000 View group prices,"39,000.0 UNIT(S)","₦ 3,771,335.000","₦ 3,900,000.000","₦ 128,665.000","490,779.0 UNIT(S)","78,271.0 UNIT(S)","1,000.0 UNIT(S)",,,,
