SKU,Product,Variation,Category,Location,Unit Selling Price,Current stock,Current Stock Value (By purchase price),Current Stock Value (By sale price),Potential profit,Total unit sold,Total Unit Transfered,Total Unit Adjusted,Custom Field1,Custom Field2,Custom Field3,Custom Field4
176506,INFINIX SMART8 (4/128),,PHONES,UNIZIK 1,132000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
179467,ITEL 2176,,PHONES,OWERRI 2 ,16000.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,,,,
179467,ITEL 2176,,PHONES,AWKA ,16000.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,,,,
179467,ITEL 2176,,PHONES,OKIGWE HUB,16000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,
179468,ITEL 5609,,PHONES,OWERRI 2 ,20000.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,
209588,TECNO 352,,PHONES,OWERRI 2 ,16000.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,,,,
209588,TECNO 352,,PHONES,AWKA ,16000.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,
209592,ITEL 2311,,PHONES,OWERRI 2 ,15500.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,
240860,EYESYTE BATTERY CAMERA,,ACCESSORIES,HEAD OFFICE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,
240860,EYESYTE BATTERY CAMERA,,ACCESSORIES,EBU AWKA,0.0,1.0,72558.14,0.0,72558.14,0.0,0.0,0.0,,,,
241673,ITEL 2165,,PHONES,AWKA ,12000.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,,,,
241673,ITEL 2165,,PHONES,IMSU ,12000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,
241673,ITEL 2165,,PHONES,IMT ,12000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,
241673,ITEL 2165,,PHONES,ULAKWO ,12000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,
241673,ITEL 2165,,PHONES,OWERRI 2 ,12000.0,9.0,94500.0,108000.0,13500.0,11.0,0.0,0.0,,,,
